year,yearcode,countryname,countrycode,prop_urbanpopulation
1980,YR1980,Afghanistan,AFG,15.995
1980,YR1980,Albania,ALB,33.762
1980,YR1980,Algeria,DZA,43.542
1980,YR1980,American Samoa,ASM,74.33
1980,YR1980,Andorra,AND,92.064
1980,YR1980,Angola,AGO,24.298
1980,YR1980,Antigua and Barbuda,ATG,34.618
1980,YR1980,Argentina,ARG,82.887
1980,YR1980,Armenia,ARM,66.05
1980,YR1980,Aruba,ABW,50.472
1980,YR1980,Australia,AUS,85.552
1980,YR1980,Austria,AUT,65.391
1980,YR1980,Azerbaijan,AZE,52.777
1980,YR1980,"Bahamas, The",BHS,73.102
1980,YR1980,Bahrain,BHR,86.101
1980,YR1980,Bangladesh,BGD,14.851
1980,YR1980,Barbados,BRB,40.102
1980,YR1980,Belarus,BLR,56.498
1980,YR1980,Belgium,BEL,95.381
1980,YR1980,Belize,BLZ,49.374
1980,YR1980,Benin,BEN,27.339
1980,YR1980,Bermuda,BMU,100
1980,YR1980,Bhutan,BTN,10.132
1980,YR1980,Bolivia,BOL,45.451
1980,YR1980,Bosnia and Herzegovina,BIH,35.543
1980,YR1980,Botswana,BWA,16.479
1980,YR1980,Brazil,BRA,65.468
1980,YR1980,British Virgin Islands,VGB,22.741
1980,YR1980,Brunei Darussalam,BRN,64.949
1980,YR1980,Bulgaria,BGR,62.1
1980,YR1980,Burkina Faso,BFA,8.805
1980,YR1980,Burundi,BDI,4.339
1980,YR1980,Cabo Verde,CPV,23.518
1980,YR1980,Cambodia,KHM,9.898
1980,YR1980,Cameroon,CMR,31.921
1980,YR1980,Canada,CAN,75.663
1980,YR1980,Cayman Islands,CYM,100
1980,YR1980,Central African Republic,CAF,33.874
1980,YR1980,Chad,TCD,18.787
1980,YR1980,Channel Islands,CHI,32.209
1980,YR1980,Chile,CHL,81.243
1980,YR1980,China,CHN,19.358
1980,YR1980,Colombia,COL,63.738
1980,YR1980,Comoros,COM,23.215
1980,YR1980,"Congo, Dem. Rep.",COD,27.072
1980,YR1980,"Congo, Rep.",COG,47.857
1980,YR1980,Costa Rica,CRI,43.099
1980,YR1980,Cote d'Ivoire,CIV,36.829
1980,YR1980,Croatia,HRV,47.285
1980,YR1980,Cuba,CUB,68.106
1980,YR1980,Curacao,CUW,81.769
1980,YR1980,Cyprus,CYP,58.614
1980,YR1980,Czechia,CZE,75.167
1980,YR1980,Denmark,DNK,83.723
1980,YR1980,Djibouti,DJI,72.096
1980,YR1980,Dominica,DMA,46.759
1980,YR1980,Dominican Republic,DOM,51.29
1980,YR1980,Ecuador,ECU,46.961
1980,YR1980,"Egypt, Arab Rep.",EGY,43.858
1980,YR1980,El Salvador,SLV,44.099
1980,YR1980,Equatorial Guinea,GNQ,27.872
1980,YR1980,Eritrea,ERI,14.39
1980,YR1980,Estonia,EST,69.711
1980,YR1980,Eswatini,SWZ,16.478
1980,YR1980,Ethiopia,ETH,10.41
1980,YR1980,Faroe Islands,FRO,31.186
1980,YR1980,Fiji,FJI,37.769
1980,YR1980,Finland,FIN,71.727
1980,YR1980,France,FRA,73.282
1980,YR1980,French Polynesia,PYF,59.003
1980,YR1980,Gabon,GAB,54.682
1980,YR1980,"Gambia, The",GMB,28.414
1980,YR1980,Georgia,GEO,52.497
1980,YR1980,Germany,DEU,72.844
1980,YR1980,Ghana,GHA,31.163
1980,YR1980,Gibraltar,GIB,100
1980,YR1980,Greece,GRC,69.343
1980,YR1980,Greenland,GRL,76.121
1980,YR1980,Grenada,GRD,32.912
1980,YR1980,Guam,GUM,93.753
1980,YR1980,Guatemala,GTM,38.724
1980,YR1980,Guinea,GIN,23.617
1980,YR1980,Guinea-Bissau,GNB,17.804
1980,YR1980,Guyana,GUY,30.488
1980,YR1980,Haiti,HTI,20.541
1980,YR1980,Honduras,HND,34.87
1980,YR1980,"Hong Kong SAR, China",HKG,91.478
1980,YR1980,Hungary,HUN,64.191
1980,YR1980,Iceland,ISL,88.26
1980,YR1980,India,IND,23.098
1980,YR1980,Indonesia,IDN,22.104
1980,YR1980,"Iran, Islamic Rep.",IRN,49.693
1980,YR1980,Iraq,IRQ,65.521
1980,YR1980,Ireland,IRL,55.333
1980,YR1980,Isle of Man,IMN,51.784
1980,YR1980,Israel,ISR,88.583
1980,YR1980,Italy,ITA,66.64
1980,YR1980,Jamaica,JAM,46.739
1980,YR1980,Japan,JPN,76.175
1980,YR1980,Jordan,JOR,60.029
1980,YR1980,Kazakhstan,KAZ,54.142
1980,YR1980,Kenya,KEN,15.583
1980,YR1980,Kiribati,KIR,32.284
1980,YR1980,"Korea, Dem. People's Rep.",PRK,56.9
1980,YR1980,"Korea, Rep.",KOR,56.72
1980,YR1980,Kosovo,XKX,
1980,YR1980,Kuwait,KWT,94.781
1980,YR1980,Kyrgyz Republic,KGZ,38.627
1980,YR1980,Lao PDR,LAO,12.377
1980,YR1980,Latvia,LVA,67.095
1980,YR1980,Lebanon,LBN,73.672
1980,YR1980,Lesotho,LSO,11.45
1980,YR1980,Liberia,LBR,35.167
1980,YR1980,Libya,LBY,70.094
1980,YR1980,Liechtenstein,LIE,18.274
1980,YR1980,Lithuania,LTU,61.158
1980,YR1980,Luxembourg,LUX,80.042
1980,YR1980,"Macao SAR, China",MAC,98.519
1980,YR1980,Madagascar,MDG,18.524
1980,YR1980,Malawi,MWI,9.05
1980,YR1980,Malaysia,MYS,42.044
1980,YR1980,Maldives,MDV,22.25
1980,YR1980,Mali,MLI,18.484
1980,YR1980,Malta,MLT,89.785
1980,YR1980,Marshall Islands,MHL,58.298
1980,YR1980,Mauritania,MRT,27.371
1980,YR1980,Mauritius,MUS,42.351
1980,YR1980,Mexico,MEX,66.339
1980,YR1980,"Micronesia, Fed. Sts.",FSM,26.445
1980,YR1980,Moldova,MDA,40.387
1980,YR1980,Monaco,MCO,100
1980,YR1980,Mongolia,MNG,52.083
1980,YR1980,Montenegro,MNE,36.813
1980,YR1980,Morocco,MAR,41.21
1980,YR1980,Mozambique,MOZ,13.158
1980,YR1980,Myanmar,MMR,23.973
1980,YR1980,Namibia,NAM,25.066
1980,YR1980,Nauru,NRU,100
1980,YR1980,Nepal,NPL,6.091
1980,YR1980,Netherlands,NLD,64.745
1980,YR1980,New Caledonia,NCL,57.426
1980,YR1980,New Zealand,NZL,83.428
1980,YR1980,Nicaragua,NIC,50.292
1980,YR1980,Niger,NER,13.443
1980,YR1980,Nigeria,NGA,21.97
1980,YR1980,North Macedonia,MKD,53.469
1980,YR1980,Northern Mariana Islands,MNP,86.784
1980,YR1980,Norway,NOR,70.545
1980,YR1980,Oman,OMN,47.562
1980,YR1980,Pakistan,PAK,28.066
1980,YR1980,Palau,PLW,62.542
1980,YR1980,Panama,PAN,50.447
1980,YR1980,Papua New Guinea,PNG,13.047
1980,YR1980,Paraguay,PRY,41.688
1980,YR1980,Peru,PER,64.574
1980,YR1980,Philippines,PHL,37.456
1980,YR1980,Poland,POL,58.086
1980,YR1980,Portugal,PRT,42.785
1980,YR1980,Puerto Rico,PRI,67.835
1980,YR1980,Qatar,QAT,89.363
1980,YR1980,Romania,ROU,46.07
1980,YR1980,Russian Federation,RUS,69.751
1980,YR1980,Rwanda,RWA,4.721
1980,YR1980,Samoa,WSM,21.173
1980,YR1980,San Marino,SMR,81.231
1980,YR1980,Sao Tome and Principe,STP,33.482
1980,YR1980,Saudi Arabia,SAU,65.86
1980,YR1980,Senegal,SEN,35.769
1980,YR1980,Serbia,SRB,46.146
1980,YR1980,Seychelles,SYC,49.366
1980,YR1980,Sierra Leone,SLE,29.819
1980,YR1980,Singapore,SGP,100
1980,YR1980,Sint Maarten (Dutch part),SXM,100
1980,YR1980,Slovak Republic,SVK,51.638
1980,YR1980,Slovenia,SVN,48.045
1980,YR1980,Solomon Islands,SLB,10.576
1980,YR1980,Somalia,SOM,26.763
1980,YR1980,South Africa,ZAF,48.425
1980,YR1980,South Sudan,SSD,8.519
1980,YR1980,Spain,ESP,72.789
1980,YR1980,Sri Lanka,LKA,18.607
1980,YR1980,St. Kitts and Nevis,KNA,35.882
1980,YR1980,St. Lucia,LCA,26.54
1980,YR1980,St. Martin (French part),MAF,
1980,YR1980,St. Vincent and the Grenadines,VCT,35.87
1980,YR1980,Sudan,SDN,19.959
1980,YR1980,Suriname,SUR,64.96
1980,YR1980,Sweden,SWE,83.087
1980,YR1980,Switzerland,CHE,74.477
1980,YR1980,Syrian Arab Republic,SYR,46.708
1980,YR1980,Tajikistan,TJK,34.289
1980,YR1980,Tanzania,TZA,14.555
1980,YR1980,Thailand,THA,26.791
1980,YR1980,Timor-Leste,TLS,16.483
1980,YR1980,Togo,TGO,24.663
1980,YR1980,Tonga,TON,21.154
1980,YR1980,Trinidad and Tobago,TTO,52.284
1980,YR1980,Tunisia,TUN,50.569
1980,YR1980,Turkiye,TUR,43.78
1980,YR1980,Turkmenistan,TKM,47.078
1980,YR1980,Turks and Caicos Islands,TCA,55.259
1980,YR1980,Tuvalu,TUV,29.822
1980,YR1980,Uganda,UGA,7.534
1980,YR1980,Ukraine,UKR,61.693
1980,YR1980,United Arab Emirates,ARE,80.71
1980,YR1980,United Kingdom,GBR,78.481
1980,YR1980,United States,USA,73.738
1980,YR1980,Uruguay,URY,85.394
1980,YR1980,Uzbekistan,UZB,40.782
1980,YR1980,Vanuatu,VUT,14.74
1980,YR1980,"Venezuela, RB",VEN,79.185
1980,YR1980,Vietnam,VNM,19.247
1980,YR1980,Virgin Islands (U.S.),VIR,80.147
1980,YR1980,West Bank and Gaza,PSE,62.388
1980,YR1980,"Yemen, Rep.",YEM,16.534
1980,YR1980,Zambia,ZMB,39.815
1980,YR1980,Zimbabwe,ZWE,22.371
2020,YR2020,Afghanistan,AFG,26.026
2020,YR2020,Albania,ALB,62.112
2020,YR2020,Algeria,DZA,73.733
2020,YR2020,American Samoa,ASM,87.153
2020,YR2020,Andorra,AND,87.916
2020,YR2020,Angola,AGO,66.825
2020,YR2020,Antigua and Barbuda,ATG,24.433
2020,YR2020,Argentina,ARG,92.111
2020,YR2020,Armenia,ARM,63.313
2020,YR2020,Aruba,ABW,43.697
2020,YR2020,Australia,AUS,86.241
2020,YR2020,Austria,AUT,58.748
2020,YR2020,Azerbaijan,AZE,56.397
2020,YR2020,"Bahamas, The",BHS,83.245
2020,YR2020,Bahrain,BHR,89.506
2020,YR2020,Bangladesh,BGD,38.177
2020,YR2020,Barbados,BRB,31.191
2020,YR2020,Belarus,BLR,79.483
2020,YR2020,Belgium,BEL,98.079
2020,YR2020,Belize,BLZ,46.025
2020,YR2020,Benin,BEN,48.415
2020,YR2020,Bermuda,BMU,100
2020,YR2020,Bhutan,BTN,42.316
2020,YR2020,Bolivia,BOL,70.123
2020,YR2020,Bosnia and Herzegovina,BIH,49.02
2020,YR2020,Botswana,BWA,70.877
2020,YR2020,Brazil,BRA,87.073
2020,YR2020,British Virgin Islands,VGB,48.515
2020,YR2020,Brunei Darussalam,BRN,78.25
2020,YR2020,Bulgaria,BGR,75.686
2020,YR2020,Burkina Faso,BFA,30.607
2020,YR2020,Burundi,BDI,13.708
2020,YR2020,Cabo Verde,CPV,66.652
2020,YR2020,Cambodia,KHM,24.232
2020,YR2020,Cameroon,CMR,57.56
2020,YR2020,Canada,CAN,81.562
2020,YR2020,Cayman Islands,CYM,100
2020,YR2020,Central African Republic,CAF,42.198
2020,YR2020,Chad,TCD,23.52
2020,YR2020,Channel Islands,CHI,30.963
2020,YR2020,Chile,CHL,87.727
2020,YR2020,China,CHN,61.428
2020,YR2020,Colombia,COL,81.425
2020,YR2020,Comoros,COM,29.38
2020,YR2020,"Congo, Dem. Rep.",COD,45.638
2020,YR2020,"Congo, Rep.",COG,67.829
2020,YR2020,Costa Rica,CRI,80.771
2020,YR2020,Cote d'Ivoire,CIV,51.706
2020,YR2020,Croatia,HRV,57.553
2020,YR2020,Cuba,CUB,77.194
2020,YR2020,Curacao,CUW,89.062
2020,YR2020,Cyprus,CYP,66.821
2020,YR2020,Czechia,CZE,74.061
2020,YR2020,Denmark,DNK,88.116
2020,YR2020,Djibouti,DJI,78.062
2020,YR2020,Dominica,DMA,71.09
2020,YR2020,Dominican Republic,DOM,82.54
2020,YR2020,Ecuador,ECU,64.166
2020,YR2020,"Egypt, Arab Rep.",EGY,42.783
2020,YR2020,El Salvador,SLV,73.444
2020,YR2020,Equatorial Guinea,GNQ,73.1
2020,YR2020,Eritrea,ERI,41.347
2020,YR2020,Estonia,EST,69.229
2020,YR2020,Eswatini,SWZ,24.171
2020,YR2020,Ethiopia,ETH,21.695
2020,YR2020,Faroe Islands,FRO,42.398
2020,YR2020,Fiji,FJI,57.247
2020,YR2020,Finland,FIN,85.517
2020,YR2020,France,FRA,80.975
2020,YR2020,French Polynesia,PYF,61.975
2020,YR2020,Gabon,GAB,90.092
2020,YR2020,"Gambia, The",GMB,62.582
2020,YR2020,Georgia,GEO,59.453
2020,YR2020,Germany,DEU,77.453
2020,YR2020,Ghana,GHA,57.349
2020,YR2020,Gibraltar,GIB,100
2020,YR2020,Greece,GRC,79.715
2020,YR2020,Greenland,GRL,87.282
2020,YR2020,Grenada,GRD,36.537
2020,YR2020,Guam,GUM,94.938
2020,YR2020,Guatemala,GTM,51.836
2020,YR2020,Guinea,GIN,36.875
2020,YR2020,Guinea-Bissau,GNB,44.196
2020,YR2020,Guyana,GUY,26.786
2020,YR2020,Haiti,HTI,57.088
2020,YR2020,Honduras,HND,58.359
2020,YR2020,"Hong Kong SAR, China",HKG,100
2020,YR2020,Hungary,HUN,71.942
2020,YR2020,Iceland,ISL,93.898
2020,YR2020,India,IND,34.926
