timedelta,n_tokens_title,n_tokens_content,n_unique_tokens,n_non_stop_words,n_non_stop_unique_tokens,num_hrefs,num_self_hrefs,num_imgs,num_videos,average_token_length,num_keywords,data_channel_is_lifestyle,data_channel_is_entertainment,data_channel_is_bus,data_channel_is_socmed,data_channel_is_tech,data_channel_is_world,self_reference_min_shares,self_reference_max_shares,self_reference_avg_sharess,weekday_is_monday,weekday_is_tuesday,weekday_is_wednesday,weekday_is_thursday,weekday_is_friday,weekday_is_saturday,weekday_is_sunday,is_weekend,LDA_00,LDA_01,LDA_02,LDA_03,LDA_04,global_subjectivity,global_sentiment_polarity,global_rate_positive_words,global_rate_negative_words,rate_positive_words,rate_negative_words,avg_positive_polarity,min_positive_polarity,max_positive_polarity,avg_negative_polarity,min_negative_polarity,max_negative_polarity,title_subjectivity,title_sentiment_polarity,abs_title_subjectivity,abs_title_sentiment_polarity,shares
486,11,264,0.628352488014,0.999999993464,0.836601301722,11,6,0,1,4.18560606061,7,0,0,0,0,0,1,17400,17400,17400,1,0,0,0,0,0,0,0,0.0285720910662,0.0285805136837,0.433694185471,0.313574478973,0.195578730806,0.572222222222,0.241666666667,0.0227272727273,0.0113636363636,0.666666666667,0.333333333333,0.4625,0.25,1,-0.216666666667,-0.4,-0.05,0,0,0.5,0,8.76405326934776
28,9,820,0.496202531017,0.999999998066,0.632495163187,27,5,1,0,4.82317073171,8,0,1,0,0,0,0,552,2700,1176.25,0,0,0,1,0,0,0,0,0.0250012047418,0.89963444281,0.0250006582507,0.0253631268626,0.0250005673352,0.46385321919,0.186878009631,0.0719512195122,0.0170731707317,0.808219178082,0.191780821918,0.424546004843,0.05,1,-0.40625,-0.7,-0.0125,0.5,0.3,0,0.3,6.82437367004309
510,17,182,0.74585634947,0.999999990991,0.927927919568,13,0,1,0,4.37362637363,7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0285719023066,0.0285719421917,0.885711834599,0.0285717424426,0.0285725784599,0.36375,0.00125,0.0164835164835,0.010989010989,0.6,0.4,0.287121212121,0.136363636364,0.375,-0.35625,-0.4,-0.3125,0,0,0.5,0,7.86326672400957
730,10,414,0.606796115032,0.999999996094,0.777343746964,8,0,1,0,4.9806763285,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0333338385304,0.0333334797008,0.700025925019,0.199971648536,0.033335108214,0.343411290606,0.0101736001126,0.0289855072464,0.0386473429952,0.428571428571,0.571428571429,0.299597763348,0.1,0.5,-0.176128472222,-0.7,-0.05,0.3,0.2,0.2,0.2,6.14846829591765
80,12,141,0.71014492239,0.999999988235,0.858823519308,6,4,0,1,4.81560283688,8,0,1,0,0,0,0,1000,4400,2700,1,0,0,0,0,0,0,0,0.0250124068881,0.0254569440024,0.0250003874837,0.899530010123,0.0250002515032,0.482142857143,0.0730519480519,0.0212765957447,0.0212765957447,0.5,0.5,0.337121212121,0.136363636364,0.5,-0.166666666667,-0.25,-0.125,0,0,0.5,0,6.14418563412565
153,9,339,0.559171595979,0.999999995327,0.677570090292,8,7,1,0,4.58702064897,8,0,0,0,0,1,0,1600,5800,3033.33333333,0,0,0,0,1,0,0,0,0.0251054567164,0.0250023683449,0.0250396260781,0.0250005497806,0.89985199908,0.370703933747,0.140920854508,0.0353982300885,0.0117994100295,0.75,0.25,0.319751082251,0.1,0.5,-0.148958333333,-0.2,-0.0833333333333,0.4,0.4,0.1,0.4,7.69621263934641
246,11,742,0.599999999118,0.999999998258,0.646341462289,56,3,0,51,5.17115902965,8,0,0,0,0,0,0,7800,837700,422750,0,0,1,0,0,0,0,0,0.0250007837012,0.0250334222081,0.149324267106,0.775635549592,0.025005977392,0.522135353535,0.117071717172,0.0350404312668,0.0202156334232,0.634146341463,0.365853658537,0.392872960373,0.1,0.8,-0.284074074074,-0.8,-0.1,0.5,-0.1875,0,0.1875,8.13153071060425
168,14,436,0.570765659929,0.999999996139,0.737451734604,5,2,1,0,4.34174311927,7,0,1,0,0,0,0,1100,1300,1200,0,0,0,1,0,0,0,0,0.0285755724249,0.708987383038,0.0286639101792,0.205200585521,0.0285725488372,0.450547138047,0.144412878788,0.0573394495413,0.0045871559633,0.925925925926,0.0740740740741,0.231636363636,0.05,0.7,-0.39375,-0.6,-0.1875,0.5,0.25,0,0.25,6.67959918584438
57,12,317,0.54313098868,0.999999994318,0.715909086841,5,5,2,0,4.47634069401,10,0,1,0,0,0,0,4200,10300,7180,0,0,1,0,0,0,0,0,0.0200019188332,0.620792856888,0.120026017028,0.0200343101754,0.219144897076,0.518994708995,0.108832671958,0.0347003154574,0.0220820189274,0.611111111111,0.388888888889,0.366114718615,0.0625,0.7,-0.24503968254,-0.8,-0.125,0,0,0.5,0,6.86797440897029
723,11,389,0.400552485081,0.999999995781,0.489451474728,7,0,1,0,4.47300771208,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.899033509037,0.0253286061128,0.025003168188,0.0256052549371,0.0250294617255,0.462280701754,0.226973684211,0.0668380462725,0.0154241645244,0.8125,0.1875,0.358653846154,0.0333333333333,0.5,-0.116666666667,-0.15,-0.05,0.0666666666667,0,0.433333333333,0,7.64969262371151
