timedelta,n_tokens_title,n_tokens_content,n_unique_tokens,n_non_stop_words,n_non_stop_unique_tokens,num_hrefs,num_self_hrefs,num_imgs,num_videos,average_token_length,num_keywords,data_channel_is_lifestyle,data_channel_is_entertainment,data_channel_is_bus,data_channel_is_socmed,data_channel_is_tech,data_channel_is_world,self_reference_min_shares,self_reference_max_shares,self_reference_avg_sharess,weekday_is_monday,weekday_is_tuesday,weekday_is_wednesday,weekday_is_thursday,weekday_is_friday,weekday_is_saturday,weekday_is_sunday,is_weekend,LDA_00,LDA_01,LDA_02,LDA_03,LDA_04,global_subjectivity,global_sentiment_polarity,global_rate_positive_words,global_rate_negative_words,rate_positive_words,rate_negative_words,avg_positive_polarity,min_positive_polarity,max_positive_polarity,avg_negative_polarity,min_negative_polarity,max_negative_polarity,title_subjectivity,title_sentiment_polarity,abs_title_subjectivity,abs_title_sentiment_polarity,shares
199,9,492,0.504149376547,0.99999999654,0.671280274494,4,2,2,1,4.77235772358,8,0,0,0,0,1,0,1000,1000,1000,1,0,0,0,0,0,0,0,0.672420933789,0.0250046248884,0.025011626975,0.0250021283178,0.25256068603,0.421146306524,0.127415666095,0.0528455284553,0.0182926829268,0.742857142857,0.257142857143,0.369988344988,0.1,0.7,-0.228703703704,-0.5,-0.125,0,0,0.5,0,8.64822145382264
112,10,374,0.604584525488,0.999999995633,0.742358075361,7,0,1,0,4.93048128342,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0400033086483,0.0400035240151,0.839987456666,0.0400022013668,0.0400035093041,0.35625,-0.036875,0.0187165775401,0.0160427807487,0.538461538462,0.461538461538,0.2375,0.0625,0.5,-0.225,-0.4,-0.1,0.4,-0.2,0.1,0.2,6.8134445995109
176,11,205,0.634999996825,0.999999991667,0.783333326806,6,2,0,2,4.8243902439,10,0,1,0,0,0,0,4500,4500,4500,0,0,1,0,0,0,0,0,0.0206013470374,0.40003001878,0.119777640339,0.289463833637,0.170127160207,0.475676406926,0.187554112554,0.0341463414634,0.00487804878049,0.875,0.125,0.47866419295,0.136363636364,0.7,-0.4,-0.4,-0.4,0.9,0.7,0.4,0.7,7.00306545878646
631,9,538,0.476635513128,0.999999996711,0.651315787331,10,7,1,0,4.43308550186,9,1,0,0,0,0,0,1100,35800,16875,0,0,1,0,0,0,0,0,0.022360999986,0.23587352508,0.0222661365239,0.0222506068175,0.697248731593,0.548090702948,0.197510204082,0.0390334572491,0.0111524163569,0.777777777778,0.222222222222,0.378503401361,0.1,1,-0.150925925926,-0.25,-0.0833333333333,0.642857142857,0.214285714286,0.142857142857,0.214285714286,7.24422751560335
606,9,507,0.520958082792,0.999999996198,0.733840301392,5,0,1,0,4.22090729783,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.280187361093,0.0334139994984,0.0335312299159,0.035879301304,0.616988108189,0.573703498399,0.195651638335,0.0512820512821,0.0138067061144,0.787878787879,0.212121212121,0.440151515152,0.0333333333333,1,-0.331746031746,-0.7,-0.155555555556,0,0,0.5,0,8.16051824747751
272,8,253,0.571428569161,0.999999993631,0.700636938213,12,3,2,1,4.98814229249,6,0,0,0,0,0,0,5700,10200,7950,0,0,0,0,1,0,0,0,0.0346890399966,0.252414534234,0.0333930361114,0.564997625783,0.114505763874,0.458539944904,0.0113119834711,0.0276679841897,0.0395256916996,0.411764705882,0.588235294118,0.333766233766,0.1,0.5,-0.23875,-0.4,-0.1,0,0.1,0.5,0.1,7.69621263934641
439,10,1007,0.441117764031,0.99999999835,0.613861385126,16,6,1,1,4.87090367428,10,0,0,1,0,0,0,1800,1800,1800,0,0,0,0,0,1,0,1,0.810318614559,0.0200807024395,0.0202068244442,0.0200692309222,0.129324627635,0.467327896822,0.133133299285,0.0486593843098,0.0168818272095,0.742424242424,0.257575757576,0.359767868186,0.0625,0.85,-0.2331232493,-0.5,-0.025,0,0,0.5,0,7.43838353004431
433,13,119,0.724137924792,0.999999986111,0.874999987847,2,2,0,2,4.6218487395,7,0,0,1,0,0,0,4800,4800,4800,0,0,0,0,1,0,0,0,0.529854479672,0.0285737394578,0.0286268616838,0.0285720197171,0.384372899469,0.264502164502,0.183636363636,0.0504201680672,0,1,0,0.306060606061,0.1,1,0,0,0,0.333333333333,0.25,0.166666666667,0.25,7.49554194388426
476,11,652,0.486068110703,0.999999997442,0.644501277124,9,2,0,1,4.92944785276,9,0,0,0,0,0,1,2100,2100,2100,0,0,0,1,0,0,0,0,0.0223219356581,0.0222247780611,0.801208159772,0.131987034531,0.0222580919775,0.501237530585,0.133994447581,0.0475460122699,0.00920245398773,0.837837837838,0.162162162162,0.314306661081,0.1,1,-0.363888888889,-0.5,-0.05,0.8,-0.05,0.3,0.05,7.09007683577609
359,10,327,0.526153844535,0.999999994924,0.654822331701,5,0,2,0,4.84097859327,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0400194535828,0.0400012325585,0.0400799376696,0.0400002597949,0.839899116394,0.47734375,-0.01171875,0.0275229357798,0.0366972477064,0.428571428571,0.571428571429,0.417777777778,0.16,0.85,-0.314583333333,-0.5,-0.1,0.1,0,0.4,0,7.82404601085629
503,8,991,0.420081966783,0.999999998012,0.656063616986,7,4,1,0,4.51160443996,5,0,0,1,0,0,0,981,4000,2693.66666667,0,0,0,0,1,0,0,0,0.268442960503,0.04014353443,0.0400003314752,0.0400002010631,0.611412972529,0.521397739857,0.220406725058,0.0605449041372,0.0100908173562,0.857142857143,0.142857142857,0.432235750361,0.05,1,-0.415416666667,-1,-0.1,0,0,0.5,0,6.4118182677099
681,9,278,0.428057552417,0.999999994737,0.468421050166,23,3,9,1,4.63309352518,7,0,0,0,0,0,0,748,760,754,0,1,0,0,0,0,0,0,0.0288104830169,0.207983453016,0.0285884999469,0.706015613122,0.0286019508975,0.67037037037,-0.0907407407407,0.0107913669065,0.0179856115108,0.375,0.625,0.361111111111,0.25,0.5,-0.42,-1,-0.1,1,0.5,0.5,0.5,8.45531778769815
92,11,288,0.597173142766,0.999999994253,0.764367811699,8,4,1,0,4.53472222222,7,0,0,0,0,1,0,1100,1400,1266.66666667,0,0,1,0,0,0,0,0,0.0285715843953,0.0285741708528,0.0285735245675,0.0285714965262,0.885709223658,0.513773069036,0.214131920711,0.0520833333333,0.00347222222222,0.9375,0.0625,0.2979004329,0.1,0.6,-0.1,-0.1,-0.1,0.535714285714,0.285714285714,0.0357142857143,0.285714285714,7.49554194388426
606,11,403,0.536649213255,0.999999995595,0.704845811873,7,0,1,0,4.43920595533,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.040125407645,0.0400049753216,0.0400025509324,0.0401745049623,0.839692561139,0.444776714514,0.0860645933014,0.0446650124069,0.0372208436725,0.545454545455,0.454545454545,0.444654882155,0.136363636364,1,-0.293333333333,-0.6,-0.1,0.25,0.15,0.25,0.15,8.93590352627442
116,11,2278,0.308402991505,0.999999999164,0.505016721986,0,0,4,0,4.27963125549,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.033334066955,0.659070604729,0.0333336335429,0.240354423926,0.0339072708478,0.50655244234,0.093615057441,0.0373134328358,0.0245829675154,0.602836879433,0.397163120567,0.398557422969,0.05,1,-0.305902777778,-0.8,-0.025,0,0,0.5,0,7.09007683577609
420,12,164,0.736196314502,0.999999989247,0.913978484796,5,2,0,2,4.7743902439,8,0,0,0,0,0,0,3800,3800,3800,0,0,0,1,0,0,0,0,0.0250974039783,0.15112376548,0.14907496095,0.649272330402,0.0254315391895,0.389321789322,0.204004329004,0.0853658536585,0.0121951219512,0.875,0.125,0.373863636364,0.0333333333333,0.7,-0.125,-0.2,-0.05,0,0,0.5,0,9.22029070282935
